channel_id,trending_video_count,subscriber_count,video_count,trending_ratio
UCcN-NDV03eHs6oLd1pe2r8w,2,2170000.0,183.0,0.01092896174863388
UCcYzLCs3zrQIBVHYA1sK2sw,8,12500000.0,4490.0,0.0017817371937639199
UCcdOEjqjiVAnUtEFZIRTlHg,2,4790000.0,93.0,0.021505376344086023
UCcgVECVN4OKV6DH1jLkqmcA,6,20900000.0,1531.0,0.003919007184846506
UCciKycgzURdymx-GRSY2_dA,1,753000.0,6159.0,0.0001623640201331385
UCcjhYlL1WRBjKaJsMH_h7Lg,1,6060000.0,1743.0,0.0005737234652897303
UCcjoLhqu3nyOFmdqF17LeBQ,1,2400000.0,4551.0,0.00021973192704900023
UCctjAAIUSW3DRS-5Phh_hgQ,1,1760000.0,742.0,0.0013477088948787063
UCcvNYxWXR_5TjVK7cSCdW-g,63,40400000.0,9312.0,0.0067654639175257734
UCcyq283he07B7_KUX07mmtA,2,10200000.0,7422.0,0.00026946914578280785
UCczFdwWpVEpoqb-eMm4c4dQ,1,15200000.0,899.0,0.0011123470522803114
UCd07rKJ7Q0pg5ths7Pz8k8Q,1,4280000.0,894.0,0.0011185682326621924
UCd1fLoVFooPeWqCEYVUJZqg,1,16400000.0,469.0,0.0021321961620469083
UCd3TI79UTgYvVEq5lTnJ4uQ,1,3270000.0,4400.0,0.00022727272727272727
UCd411wB1WD6dWFa6gszz_nA,1,1870000.0,226.0,0.004424778761061947
UCd534c_ehOvrLVL2v7Nl61w,1,8880000.0,2425.0,0.0004123711340206186
UCd9tH9PoTL_MuGdTgGTFcgw,1,88700.0,214.0,0.004672897196261682
UCdCj47cPTxr7GxeaBNkRmCA,1,1060000.0,6957.0,0.00014374011786689664
UCdDDI_RspwNf_0AADlThxYQ,4,3200000.0,49874.0,8.0202109315475e-05
UCdM8C3ufiI-i-I1XSugKVvg,3,2430000.0,14541.0,0.00020631318341242006
UCdMtj4CiqlZTgzFT5FdDd7A,26,4100000.0,32494.0,0.0008001477195789992
UCdVlI3zsHhvKKH4OEQVHyHA,1,256000.0,66.0,0.015151515151515152
UCdX3Zg1Ms16U4iXppvzrd4Q,1,62000.0,57.0,0.017543859649122806
UCdcemy56JtVTrsFIOoqvV8g,1,2370000.0,798.0,0.0012531328320802004
UCddiUEpeqJcYeBxX1IVBKvQ,6,3470000.0,5578.0,0.0010756543564001434
UCdiHpeH9fr4DMK_3wbUZapA,44,1620000.0,643.0,0.06842923794712286
UCdl_gZZR6BtKi45eHFGAduw,1,909000.0,45160.0,2.2143489813994687e-05
UCdtXPiqI2cLorKaPrfpKc4g,5,7440000.0,50934.0,9.816625436839831e-05
UCdxbhKxr8pyWTx1ExCSmJRw,25,5100000.0,550.0,0.045454545454545456
UCe1Nb-N6XgLFHfGxZjIkF8A,18,2740000.0,22003.0,0.0008180702631459347
UCe3I9BAVCzf9oACYU1EtrxA,3,3290000.0,173.0,0.017341040462427744
UCe3yZzUwpmy2eKKmF9svX0Q,2,42100000.0,6082.0,0.0003288391976323578
UCe4LM_eKc9ywRmVuBm5pjQg,6,15600000.0,2020.0,0.0029702970297029703
UCe52oeb7Xv_KaJsEzcKXJJg,5,11300000.0,54895.0,9.108297659167502e-05
UCe7UKRSJM6ITMfXX-CbET0w,1,4660000.0,1856.0,0.0005387931034482759
UCeD3VwVu0HzIkPbLwl1D_VA,2,606000.0,69.0,0.028985507246376812
UCeH6qE4V7n5tVwP7NkdrtJg,6,1590000.0,3736.0,0.0016059957173447537
UCeLHszkByNZtPKcaVXOCOQQ,2,28500000.0,167.0,0.011976047904191617
UCeMsqI6jU9WE2ctsrbxbywQ,14,20400000.0,182752.0,7.660654876554019e-05
UCeOrhhGAIu6IvNv8_WWMqHA,3,2080000.0,58.0,0.05172413793103448
UCeSRjhfeeqIgr--AcP9qhyg,1,13000000.0,2782.0,0.0003594536304816679
UCeTKJSW1NTAkf27nNmjWt5A,1,2870000.0,16481.0,6.067592985862509e-05
UCeTKpxSeEzmnEE2kIa8ijbw,1,6630000.0,931.0,0.0010741138560687433
UCeVBDgameAI0Qhf7leaPhYw,1,851000.0,110.0,0.00909090909090909
UCeY0bbntWzzVIaj2z3QigXg,3,11600000.0,84142.0,3.565401345344774e-05
UCe_vXdMrHHseZ_esYUskSBw,1,11900000.0,2804.0,0.0003566333808844508
UCef1-8eOpJgud7szVPlZQAQ,4,10100000.0,239928.0,1.6671668167116803e-05
UCehBsZIPmlXUedqF9bKRSqw,2,632000.0,1215.0,0.0016460905349794238
UCexoonWpGA1nwQctHsDv7ZQ,1,1950000.0,178.0,0.0056179775280898875
